Country,2024,2025
Japan,362,385
Hong Kong,199,228
Singapore,361,386
Malaysia,184,194
Indonesia,202,218
Taiwan,149,175
Thailand,90,91
Vietnam,160,154
Philippines,164,179
Korea,342,363
China,829,974
India,421,429
United States of America,669,697
Canada,154,161
United Kingdom,605,721
Germany,159,169
Scandinavia,82,86
France,122,139
Italy,63,74
Netherlands,48,52
Switzerland,41,44
